t,symbol,r
1769391,XRPUSD,0.04798455605313893
1769391,SOLUSD,-0.30525550157708453
1769398,ETHUSD,-1.047758335818206
1769408,Wall Street 30,2.9673502389161928
1769408,US Tech 100,1.7755168352281199
1769408,Germany 40,2.979747178298598
1769408,France 40,2.9151327891649914
1769408,US SP 500,2.2153453957584746
1769411,France 40,-1.08486721083494
1769413,UK 100,-1.0708175699055766
1769417,France 40,1.8652125851665375
1769417,Wall Street 30,-1.0326497610838248
1769419,US SP 500,-1.0546069426446092
1769419,US Tech 100,-1.0243547327930065
1769419,Germany 40,-1.0202528217013882
1769419,Japan 225,-1.0695674428639994
1769419,UK 100,-1.0708175699054578
1769420,Wall Street 30,-1.0326497610836949
1769421,US Small Cap 2000,-1.0580553351076365
1769428,US Tech 100,-1.0243547327930718
1769432,US Small Cap 2000,2.9419446648922625
1769436,Germany 40,-1.0202528217014466
1769436,France 40,-1.084867210835025
1769436,US SP 500,2.9453930573552887
1769437,Wall Street 30,-1.0326497610838077
1769437,UK 100,-1.0708175699055433
1769438,US SP 500,1.9062830991471846
1769438,US Tech 100,2.9756452672069473
1769438,US Small Cap 2000,-1.0580553351077149
1769439,SOLUSD,-1.0371080868629654
1769439,BTCUSD,-1.009661252077562
1769439,ETHUSD,-1.0477583358182019
1769439,XRPUSD,-1.0341800725824628
1769441,US Small Cap 2000,-0.2568247793771066
1769445,UK 100,-1.070817569905512
1769445,BTCUSD,-1.009661252077543
1769451,Wall Street 30,0.72152542359743
1769453,BTCUSD,-1.0096612520775456
1769460,ETHUSD,-1.0477583358181937
1769460,XRPUSD,-1.034180072582455
1769463,France 40,-1.0848672108349782
1769463,US SP 500,-0.8705772962178202
1769463,Wall Street 30,0.12849145011803256
1769471,Japan 225,-1.069567442864061
1769473,Japan 225,0.8294344830507406
1769481,France 40,2.1979225964778295
1769481,Germany 40,2.0167811548571755
1769488,UK 100,2.929182430094449
1769494,US SP 500,-1.0546069426448132
1769494,Germany 40,-1.0202528217014766
1769494,US Tech 100,-1.02435473279307
1769497,France 40,-1.0848672108349215
1769499,France 40,2.9151327891650136
1769502,UK 100,-1.0708175699054525
1769504,Germany 40,-1.0202528217014628
1769504,SOLUSD,0.23958582376988813
1769505,XRPUSD,-1.0341800725824821
1769505,ETHUSD,-0.5765316274876537
1769507,BTCUSD,-0.037168570717316156
1769511,UK 100,-1.0708175699054767
1769513,France 40,0.8641513193284441
1769514,Wall Street 30,2.9673502389162802
1769514,US Tech 100,-1.0243547327930302
1769515,ETHUSD,-1.0477583358181837
1769515,BTCUSD,-1.009661252077559
1769516,UK 100,-1.0708175699054026
1769517,Wall Street 30,2.967350238916318
1769519,XRPUSD,-1.0341800725824508
1769519,SOLUSD,-1.0371080868629772
1769520,UK 100,-1.0708175699055245
1769521,US Small Cap 2000,-1.0580553351076405
1769525,US Small Cap 2000,-1.0580553351076898
1769526,US Tech 100,0.8659035582618531
1769526,Wall Street 30,-1.032649761083784
1769526,Germany 40,-1.0202528217013407
1769526,UK 100,-1.0708175699055205
1769526,BTCUSD,-1.009661252077521
1769526,France 40,-1.0848672108350303
1769528,Japan 225,-1.069567442864031
1769529,SOLUSD,-1.0371080868629505
1769529,XRPUSD,-1.0341800725824544
1769530,Wall Street 30,-1.0326497610837704
1769531,ETHUSD,-1.0477583358182088
1769531,US SP 500,-1.0546069426446685
1769531,BTCUSD,-1.0096612520775432
1769535,BTCUSD,-1.0096612520775414
1769535,ETHUSD,-1.0477583358182063
1769535,SOLUSD,-1.0371080868629605
1769535,XRPUSD,-1.034180072582455
1769536,Wall Street 30,-1.032649761083725
1769539,BTCUSD,2.9903387479224532
1769539,ETHUSD,2.952241664181793
1769542,SOLUSD,1.88892260759641
1769544,US Small Cap 2000,0.5117527191668623
1769546,BTCUSD,0.8686492298540247
1769546,Germany 40,-1.0202528217013496
1769546,Japan 225,-1.0695674428639745
1769547,France 40,-0.6204727934007894
1769547,ETHUSD,0.690652390039358
1769554,US Tech 100,2.975645267206911
1769556,Japan 225,-1.0695674428639952
1769560,US SP 500,0.48922675922177417
1769562,US Tech 100,-0.36364072770626493
1769562,XRPUSD,0.7242084481878628
1769578,UK 100,-1.0708175699054827
1769580,XRPUSD,-0.5410413056753121
1769581,US Tech 100,-1.0243547327930913
1769581,US SP 500,-1.0546069426447968
1769582,BTCUSD,-1.0096612520775659
1769585,Japan 225,-1.0695674428640505
1769585,France 40,2.9151327891649834
1769586,Germany 40,-1.020252821701354
1769589,Wall Street 30,-1.032649761083791
1769589,Germany 40,-1.020252821701458
1769589,ETHUSD,-1.0477583358182192
1769590,France 40,-1.084867210835003
1769591,Japan 225,1.2918207667706403
1769593,BTCUSD,2.9903387479224413
1769593,XRPUSD,0.42716310426985565
1769594,SOLUSD,0.2443882307801576
1769594,ETHUSD,-1.0477583358182085
1769596,US Tech 100,-1.0243547327930418
1769596,US Small Cap 2000,-1.058055335107609
1769604,Wall Street 30,-1.0326497610839045
1769604,Germany 40,-1.0202528217014264
1769604,France 40,-1.0848672108349706
1769604,US SP 500,-1.0546069426446578
1769605,SOLUSD,2.9628919131370313
1769607,BTCUSD,-1.0096612520775632
1769609,Japan 225,2.5383820439590723
1769611,BTCUSD,2.990338747922458
1769611,XRPUSD,2.0264875362084847
1769611,ETHUSD,2.952241664181786
1769612,US Small Cap 2000,-1.0580553351076787
1769615,US Small Cap 2000,0.8786695152861101
1769615,US SP 500,1.637094521649536
1769615,US Tech 100,1.1731505505661568
1769616,SOLUSD,-1.0371080868629547
1769616,Wall Street 30,-1.0326497610837317
1769626,BTCUSD,0.9998478578270504
1769636,US Tech 100,-1.0243547327930078
1769643,Japan 225,-1.0695674428640185
1769646,Japan 225,2.012696638605069
1769653,XRPUSD,0.6023487847088408
1769654,BTCUSD,-0.7729417384121917
1769654,ETHUSD,0.5386969110762729
1769656,SOLUSD,-1.037108086862948
1769663,SOLUSD,1.096910706563355
1769665,Germany 40,-1.020252821701391
1769670,France 40,2.9151327891650487
1769670,Germany 40,-1.020252821701389
1769673,UK 100,-1.070817569905508
1769673,Wall Street 30,0.13516192850339806
1769673,US Small Cap 2000,1.3713354319709856
1769676,Germany 40,1.6650082014867325
1769679,France 40,-1.0848672108349586
1769683,US SP 500,-1.0546069426447344
1769683,US Small Cap 2000,-1.0580553351076403
1769683,Wall Street 30,-1.0326497610838343
1769688,Germany 40,-1.0202528217014244
1769688,US Small Cap 2000,-1.0580553351076263
1769688,UK 100,2.929182430094533
1769694,France 40,-1.0848672108349704
1769696,XRPUSD,-1.0341800725824781
1769696,ETHUSD,2.952241664181814
1769696,UK 100,-1.0708175699055023
1769697,BTCUSD,2.990338747922423
1769697,US SP 500,2.945393057355285
1769697,US Tech 100,2.9756452672069362
1769697,SOLUSD,2.9628919131370357
1769697,France 40,0.05421963300433028
1769697,Germany 40,2.979747178298564
1769698,US Small Cap 2000,2.9419446648922842
1769698,ETHUSD,-1.0477583358182012
1769698,Japan 225,2.9304325571360024
1769698,BTCUSD,2.990338747922453
1769698,XRPUSD,-1.0341800725824495
1769700,Wall Street 30,-1.0326497610837995
1769700,US Tech 100,-1.0243547327929963
1769700,ETHUSD,-1.0477583358182057
1769700,SOLUSD,-1.0371080868629634
1769700,UK 100,0.3680790381228495
1769700,US SP 500,-1.0546069426446332
1769702,ETHUSD,-1.04775833581819
1769702,BTCUSD,-1.0096612520775292
1769703,Germany 40,-1.020252821701385
1769705,SOLUSD,-1.037108086862958
1769706,US Tech 100,1.3707528278296934
1769706,US Small Cap 2000,0.8320181558470829
1769706,US SP 500,1.3656492933172781
1769706,Wall Street 30,-1.0326497610838037
1769706,Germany 40,0.49495436669903725
1769706,XRPUSD,-1.0341800725824652
1769707,France 40,1.1806849174424563
1769707,Japan 225,1.6707999799137698
1769712,BTCUSD,-1.0096612520775445
1769712,SOLUSD,-1.0371080868629614
1769712,ETHUSD,-1.0477583358182019
1769712,XRPUSD,-1.034180072582465
1769720,Japan 225,-1.0695674428640352
1769732,Germany 40,-1.020252821701451
1769733,Japan 225,-1.0695674428640316
1769736,BTCUSD,-0.3652199641119494
1769736,France 40,0.41588691398660355
1769736,ETHUSD,-0.12742088489071854
1769736,XRPUSD,0.4729675258875115
1769736,SOLUSD,-1.0371080868629634
1769738,US Small Cap 2000,-0.5565184304832324
1769739,SOLUSD,-1.0371080868629632
1769739,Japan 225,-1.069567442864032
1769739,US Tech 100,-1.024354732793008
1769739,US SP 500,-1.054606942644636
1769753,SOLUSD,-1.0371080868629554
1769753,US SP 500,1.4740064063244829
1769754,ETHUSD,-1.0477583358181837
1769754,BTCUSD,-1.009661252077553
1769754,XRPUSD,-1.0341800725824513
1769755,Wall Street 30,-0.2636726137655719
1769755,US Tech 100,0.20402772683707238
1769755,US Small Cap 2000,-1.0580553351076463
1769759,SOLUSD,0.20448861847106253
1769759,UK 100,-1.0708175699054199
1769759,Germany 40,-1.0202528217013658
1769762,UK 100,-0.21065642406677001
1769762,Germany 40,-1.0202528217014226
1769764,XRPUSD,-0.4209605307779918
1769772,US Small Cap 2000,-1.058055335107715
1769772,US SP 500,0.9191818642993592
1769772,US Tech 100,0.8429603837677437
1769772,Wall Street 30,-1.032649761083768
1769773,XRPUSD,-1.034180072582462
1769773,SOLUSD,-1.0371080868629516
1769773,Germany 40,-1.020252821701377
1769773,Japan 225,0.47070335154182347
1769773,ETHUSD,-1.0477583358181846
1769774,UK 100,-1.070817569905416
1769783,BTCUSD,-1.009661252077524
1769783,US Small Cap 2000,-1.058055335107693
1769785,US SP 500,-1.0546069426446687
1769785,Wall Street 30,-1.0326497610837877
1769789,Wall Street 30,0.5159919317532417
1769790,SOLUSD,-1.0371080868629623
1769791,US Small Cap 2000,-1.058055335107699
1769795,UK 100,-1.070817569905459
1769799,Wall Street 30,0.901484846507798
1769800,SOLUSD,-1.0371080868629587
1769800,BTCUSD,0.55542994450538
